Run ID,Output Reliability (%),Entities F1 (Recognition),Entities F1 (Typing),Entities F1 (Extraction),Attributes F1 (Recognition),Attributes F1 (Typing),Attributes F1 (Extraction),Relations F1,Properties F1,Signatures: Relations Rate (%),Signatures: Properties Rate (%),Hallucinations: Relations Rate (%),Hallucinations: Properties Rate (%),Hallucinations: Types Rate (%),Invalid JSON Rate (%),Schema Validation Rate (%),Extra Entity Rate (%),Extra Attribute Rate (%),Extra Prefix Rate (%),Missing Entity Rate (%),Missing Attribute Rate (%),Missing Prefix Rate (%),Avg Latency (s),Avg Cost ($),Avg Input Tokens,Avg Output Tokens,Avg Reasoning Tokens,Total Latency (hh:mm:ss),Total Cost ($),Total Input Tokens,Total Output Tokens,Total Reasoning Tokens
Claude 3 Haiku,32.47,0.6,0.65,0.83,0.37,0.57,0.37,0.59,0.35,7.3,9.63,1.19,3.08,0.89,0.05,10.53,17.68,30.83,22.05,0.55,3.18,0.0,5.212,0.01,8010,502,0,02:54:55,5.3,16131067,1011384,0
Claude 3 Opus,87.79,0.66,0.7,0.89,0.82,0.86,0.82,0.7,0.81,8.24,4.82,0.3,2.73,0.05,0.0,2.38,7.55,1.54,0.89,0.1,0.2,0.0,15.436,0.15,8010,417,0,08:38:07,304.95,16131072,839783,0
Claude 3 Sonnet,30.04,0.65,0.69,0.89,0.66,0.77,0.66,0.69,0.63,2.98,5.96,0.15,2.88,0.0,0.0,4.77,10.92,4.37,50.89,0.35,7.85,0.0,6.985,0.03,8010,398,0,03:54:27,60.43,16131067,802393,0
Claude 3.5 Haiku,60.53,0.65,0.72,0.86,0.72,0.82,0.72,0.64,0.7,4.52,2.04,0.0,0.6,0.0,0.25,6.8,8.59,2.78,21.65,0.0,0.55,0.0,7.21,0.01,8010,439,0,04:02:01,16.44,16131067,884812,0
Claude 3.5 Sonnet V1,90.67,0.62,0.7,0.86,0.86,0.9,0.86,0.65,0.84,4.22,1.29,0.0,0.35,0.0,0.2,3.43,5.31,0.2,0.15,0.05,0.0,0.0,7.334,0.03,8010,369,0,04:06:10,59.55,16131067,743955,0
Claude 3.5 Sonnet V2,94.79,0.63,0.69,0.87,0.88,0.92,0.89,0.65,0.87,1.24,0.05,0.0,0.0,0.0,0.0,1.64,3.38,0.0,0.0,0.0,0.0,0.2,7.41,0.03,8010,352,0,04:08:42,59.03,16131067,709189,0
Claude 3.7 Sonnet - no-thinking,93.35,0.64,0.71,0.87,0.87,0.91,0.87,0.67,0.85,2.53,0.0,0.0,0.0,0.0,0.0,0.65,3.77,0.15,2.09,0.0,0.0,0.0,6.668,0.03,8010,364,0,03:43:48,59.4,16131067,733726,0
Claude 4 Opus - no-thinking,87.14,0.67,0.71,0.91,0.9,0.94,0.9,0.74,0.89,2.33,0.05,0.0,0.0,0.0,0.15,2.38,10.33,0.0,0.0,0.0,0.0,0.0,17.108,0.15,8010,359,0,09:34:15,296.13,16131067,722129,0
Claude 4 Sonnet - high-thinking - 32768 tokens,99.36,0.66,0.69,0.91,0.84,0.87,0.84,0.73,0.83,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.05,0.0,0.05,0.0,21.758,0.05,8040,1931,0,12:10:21,106.91,16191487,3889288,0
Claude 4 Sonnet - low-thinking - 11606 tokens,99.26,0.65,0.69,0.9,0.84,0.87,0.84,0.73,0.82,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.0,21.582,0.05,8040,1906,0,12:04:25,106.15,16191487,3838164,0
Claude 4 Sonnet - medium-thinking - 22188 tokens,99.55,0.65,0.69,0.91,0.84,0.87,0.84,0.73,0.82,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.15,0.0,0.0,0.0,29.108,0.06,8040,2609,0,16:17:03,127.39,16191487,5254430,0
Claude 4 Sonnet - minimal-thinking - 1024 tokens,97.87,0.65,0.69,0.9,0.85,0.88,0.85,0.73,0.84,0.1,0.0,0.0,0.0,0.0,0.0,0.05,1.94,0.0,0.15,0.0,0.0,0.0,17.364,0.05,8040,1344,0,09:42:51,89.16,16191487,2705798,0
Claude 4 Sonnet - no-thinking,89.82,0.69,0.72,0.91,0.88,0.91,0.88,0.74,0.86,1.69,0.5,0.0,0.05,0.0,0.0,1.09,9.09,0.0,0.0,0.0,0.0,0.0,4.943,0.03,8010,362,0,02:45:54,59.32,16131067,728700,0
Claude 4.1 Opus - high-thinking - 16384 tokens,99.75,0.66,0.69,0.91,0.87,0.89,0.87,0.74,0.86,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,60.485,0.22,8040,1301,0,33:50:17,439.43,16191487,2620716,0
Claude 4.1 Opus - low-thinking - 6144 tokens,98.96,0.66,0.69,0.91,0.87,0.9,0.87,0.73,0.86,0.05,0.0,0.0,0.0,0.0,0.45,0.0,0.6,0.0,0.0,0.0,0.0,0.0,48.623,0.2,8040,1090,0,27:12:06,407.57,16191487,2195922,0
Claude 4.1 Opus - medium-thinking - 11264 tokens,99.5,0.66,0.69,0.91,0.87,0.89,0.87,0.73,0.85,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,60.371,0.22,8040,1345,0,33:46:28,446.01,16191487,2708558,0
Claude 4.1 Opus - minimal-thinking - 1024 tokens,99.06,0.66,0.7,0.91,0.87,0.9,0.87,0.73,0.86,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.89,0.0,0.0,0.0,0.0,0.0,43.859,0.19,8040,953,0,24:32:12,386.85,16191487,1919667,0
Claude 4.1 Opus - no-thinking,89.03,0.67,0.71,0.9,0.9,0.94,0.9,0.74,0.89,1.99,0.1,0.0,0.0,0.0,0.0,1.54,9.43,0.0,0.0,0.0,0.0,0.0,18.724,0.15,8010,356,0,10:28:30,295.79,16131074,717606,0
Claude 4.5 Haiku - high-thinking - 32768 tokens,87.49,0.66,0.7,0.9,0.85,0.89,0.85,0.72,0.83,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,0.0,0.0,0.0,27.401,0.03,8040,4548,0,15:19:45,61.99,16191487,9158674,0
Claude 4.5 Haiku - low-thinking - 11606 tokens,80.44,0.65,0.69,0.89,0.85,0.89,0.85,0.71,0.82,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,19.46,0.0,0.0,0.0,17.081,0.02,8040,2747,0,09:33:21,43.86,16191487,5532980,0
Claude 4.5 Haiku - medium-thinking - 22188 tokens,86.2,0.66,0.7,0.9,0.85,0.89,0.85,0.72,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,13.75,0.0,0.0,0.0,23.704,0.03,8040,3748,0,13:15:39,53.94,16191487,7549249,0
Claude 4.5 Haiku - minimal-thinking - 1024 tokens,75.32,0.65,0.69,0.89,0.85,0.89,0.85,0.71,0.83,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,24.58,0.0,0.0,0.0,17.986,0.02,8040,2795,0,10:03:43,44.34,16191487,5628677,0
Claude 4.5 Haiku - no-thinking,41.66,0.64,0.67,0.88,0.8,0.87,0.8,0.7,0.77,1.94,0.4,0.0,0.15,0.1,0.0,1.19,2.19,0.7,54.32,0.0,0.0,0.0,3.588,0.01,8010,374,0,02:00:25,19.89,16131067,752360,0
Claude 4.5 Opus - no-thinking,53.97,0.7,0.73,0.92,0.83,0.89,0.83,0.76,0.81,0.3,0.05,0.0,0.0,0.0,0.0,0.25,0.89,0.0,44.89,0.0,0.0,0.0,5.243,0.05,8010,370,0,02:55:58,99.31,16131067,746050,0
Claude 4.5 Sonnet - high-thinking - 32768 tokens,100.0,0.67,0.7,0.92,0.86,0.88,0.86,0.74,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.152,0.07,8040,2893,0,18:32:48,135.96,16191487,5825616,0
Claude 4.5 Sonnet - medium-thinking - 22188 tokens,99.95,0.66,0.7,0.91,0.86,0.89,0.86,0.74,0.84,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.422,0.07,8040,2992,0,19:48:59,138.97,16191487,6026091,0
